STT,CPU,RAM,Ổ cứng,Đồ họa,Màn hình,Trọng lượng (kg),Hệ điều hành,Name,Price
111,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 256 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 220 nits, Anti-glare LED-backlit",1.4,Windows 10,Dell Vostro V5402 i5 1135G7,18.190.000 ₫
112,AMD Ryzen 5-3550H,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics Vega 8,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, LED Backlit",2.14,Windows 10,ASUS TUF Gaming FX505DT-HN488T/R5-3550H,18.090.000 ₫
113,Intel Core i5-10210U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce MX250 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.7,Windows 10,Asus Vivobook A512FL-EJ765T/i5-10210U,18.090.000 ₫
114,Intel Core i7-1165G7,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel Iris Xe Graphics,"15.6"", 1366 x 768 Pixel, SVA, 60 Hz, 250 nits, Ultra Slim",1.91,Windows 10,HP 15s fq2029TU i7 1165G7,18.090.000 ₫
115,Intel Core i5-8265U,"4 GB, DDR4, 2400 MHz",HDD 1 TB,NVIDIA GeForce MX130 2 GB & Intel UHD Graphics 620,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, LED-backlit",1.95,Windows 10,Dell Inspiron N5584/Core i5-8265U/N5I5384W,17.990.000 ₫
116,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz",1.3,Windows 10,MSI Modern 14 B11MO-004VN/i5-1135G7,17.990.000 ₫
117,AMD Ryzen 7-4700H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon Graphics Vega 6,"14"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, FHD Touch",1.5,Windows 10 Home SL 64,Lenovo IdeaPad Flex 5 14ARE05 R7 4700U/81X2008YVN,17.990.000 ₫
118,Intel Core i5-10210U,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, LED-backlit",1.77,Windows 10,Lenovo ThinkPad E14/i5 10210U,17.990.000 ₫
119,Intel Core i5-10210U,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare LED-backlit",1.6,Windows 10,HP ProBook 440 G7/i5-10210U,17.590.000 ₫
120,Intel Core i5-1035G1,"8 GB, DDR4, 2666 MHz",SSD 512 GB,AMD Radeon 630 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 60 Hz, 220 nits, LED-backlit",1.8,Windows 10,Lenovo ThinkBook 15-IIL/i5-1035G1,17.490.000 ₫
121,Intel Core i5-1035G1,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, Anti-glare LED-backlit",1.706,Windows 10,HP Pavilion 15-cs3011TU/i5-1035G1,17.290.000 ₫
122,Intel Core i5-1035G1,"8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, LED-backlit",1.66,Windows 10,Lenovo ideapad 5-15IIL05/i5 1035G1,17.190.000 ₫
123,Intel Core i5-1035G1,"8 GB, DDR4, 2666 MHz",SSD 512 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, LED-backlit",2,Windows 10,Lenovo IdeaPad C340-15IIL/i5-1035G1,16.990.000 ₫
