STT,CPU,RAM,Ổ cứng,Đồ họa,Màn hình,Trọng lượng (kg),Hệ điều hành,Name,Price
0,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel HD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, LED Backlit",2.3,Windows 10,Asus TUF Gaming FX506LI-HN039T/i5-10300H,22.290.000 ₫
1,AMD Ryzen 7-3750H,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.2,Windows 10,Asus TUF Gaming FX505DT-HN478T/R7-3750H,19.090.000 ₫
2,AMD Ryzen 7-3750H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & AMD Radeon RX Graphics Vega 10,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.1,Windows 10,Acer Aspire Gaming A715-41G-R150/R7-3750H,19.790.000 ₫
3,AMD Ryzen 5-4600H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,AMD Radeon RX 5300M 3 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.96,Windows 10,MSI Bravo 15 A4DCR-070VN/R5 4600H,19.490.000 ₫
4,AMD Ryzen 5-3550H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & AMD Radeon RX Graphics Vega 10,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.1,Windows 10,Acer Aspire Gaming A715-41G-R282/R5-3550H,18.790.000 ₫
5,Intel Core i5-9300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.2,Windows 10,Asus TUF Gaming FX505GT-HN111T/i5-9300H,19.990.000 ₫
6,Intel Core i5-10300H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare WLED-backlit",2.3,Windows 10,HP Pavilion Gaming 15-dk1083TX i5 10300H/206R0PA,22.290.000 ₫
7,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",HDD 1000 GB & SSD 256 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare WLED-backlit",2.34,Windows 10,Dell Gaming G3 15 3500 i5 10300H/70223130,21.990.000 ₫
8,AMD Ryzen 5-3550H,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics Vega 8,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, LED Backlit",2.14,Windows 10,ASUS TUF Gaming FX505DT-HN488T/R5-3550H,18.090.000 ₫
9,Intel Core i5-9300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel HD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.42,Windows 10,Asus Strix G531GT-HN553T/I5-9300H,22.590.000 ₫
10,Intel Core i7-10750H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, IPS LCD LED Backlit, True Tone",2.3,Windows 10,MSI Leopard Gaming GL65 10SCXK-089VN/i7-10750H,24.590.000 ₫
11,Intel Core i5-10300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 Max-Q 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.86,Windows 10,MSI GF63 Thin 10SCXR-427VN/Core i5-10300H,21.190.000 ₫
12,AMD Ryzen 5-4600H,"8 GB, DDR4, 3200 MHz",HDD 1000 GB & SSD 128 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics Vega 6,"15.6"", 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS LCD",1.98 Kg,Windows 10 Home SL 64,HP Pavilion Gaming 15 ec1054AX R5 4600H/1N1H6PA,19.590.000 ₫
13,AMD Ryzen 5-3550H,"8 GB, DDR4, 2400 MHz",HDD 1000 GB & SSD 128 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon Graphics Vega 8,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, Anti-glare Micro-edge WLED-backlit",1.98,Windows 10,HP Pavilion Gaming 15-ec0050AX/R5-3550H,19.590.000 ₫
14,Intel Core i7-9750H,"8 GB, DDR4, 2666 MHz",SSD 1000 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, LED-backlit",2.3,Windows 10,Lenovo Legion Y540-15IRH/i7-9750H,26.790.000 ₫
15,AMD Ryzen 7-4800H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, LED-backlit",2.3,Windows 10,Asus TUF FA506II-AL016T/R7-4800H,23.690.000 ₫
16,Intel Core i5-9300H,"8 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.3,Windows 10,Acer Nitro Gaming 5 AN515 54 595D/i5-9300H,21.790.000 ₫
17,Intel Core i5-9300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 Max-Q 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",1.86,Windows 10,MTXT MSI GF63 9SCXR i5 9300H/075VN,18.690.000 ₫
18,AMD Ryzen 5-4600H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, LED-backlit",2.3,Windows 10,Asus TUF FA506II-AL012T/R5-4600H,22.190.000 ₫
19,AMD Ryzen 7-3750H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & AMD Radeon RX Graphics Vega 10,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.1,Windows 10,ACER Aspire Gaming 7 A715-41G-R1AZ/R7-3750H,19.990.000 ₫
20,Intel Core i5-8265U,"4 GB, DDR4, 2666 MHz",Đang cập nhật,Intel UHD Graphics,"15.6"", 1366 x 768 Pixel, Anti-glare LED-backlit",2.072,Windows 10,Asprire A515-53-50ZD/Core i5-8265U/NX.H6DSV.001,9.790.000 ₫
21,Intel Core i5-8265U,"4 GB, DDR4, 2666 MHz",Đang cập nhật,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, 60 Hz, Anti-glare LED-backlit",1.9,Windows 10,Dell Vostro V5581/Core i5-8265U/70194504,14.990.000 ₫
22,Intel Core i3-8145U,"4 GB, DDR4, 2400 MHz",HDD 500 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.53,Windows 10,HP Pavilion 14-ce2036TU/Core i3-8145U,10.690.000 ₫
23,Intel Core i3-1005G1,"4 GB, DDR4, 2400 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.7,Windows 10,Acer Aspire A315 56 37DV i3 1005G1/Đen/NX.HS5SV.001,9.890.000 ₫
24,Intel Core i3-1005G1,"4 GB, DDR4, 2666 MHz",SSD 256 GB,Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, TN, 220 nits, Anti-glare LED-backlit",1.85,Windows 10,Lenovo IdeaPad S145-15IIL i3 1005G1/81W800R2VN,9.990.000 ₫
25,AMD Ryzen 3-3250U,"4 GB, DDR4, 2400 MHz",SSD 512 GB,AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, 60 Hz, LED-backlit",1.7,Windows 10,Acer Aspire 3 A315 23 R0ML/R3 3250U/NX.HVUSV.004,10.290.000 ₫
26,Intel Core i3-8130U,"4 GB, DDR4, 2133 MHz",SSD 512 GB,Intel UHD Graphics 620,"14.0"", 1920 x 1080 Pixel, TN, 220 nits, LED-backlit",1.85,Windows 10,Lenovo IdeaPad S145-14IKB/i3 8130U,10.290.000 ₫
27,Intel Core i7-10750H,"16 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel UHD Graphics,"15.6"", 3840 x 2400 Pixel, WVA, 60 Hz, 500 nits, Anti-glare LED-backlit",2.05,Windows 10,Dell XPS 15 9500 i7 10750H/70221010,61.990.000 ₫
28,Intel Core i7-9th-gen,"16 GB, DDR4, 2666 MHz",SSD 512 GB,AMD Radeon Pro 5300M 4 GB & Intel UHD Graphics 630,"16.0"", 3072 x 1920 Pixel, IPS, IPS LCD LED Backlit, True Tone",2,Mac OS,MacBook Pro 16" 2019 Touch Bar 2.6GHz Core i7 512GB,59.990.000 ₫
29,Intel Core i5-8th-gen,"8 GB, LPDDR3, 2133 MHz",SSD 512 GB,Intel Iris Plus Graphics 655,"13.3"", 2560 x 1600 Pixel, IPS, IPS LCD LED Backlit, True Tone",1.37,Mac OS,MacBook Pro 13" 2019 Touch Bar 2.4GHz Core i5 512GB,51.990.000 ₫
30,Intel Core i7-10510U,"16 GB, LPDDR3, 2133 MHz",SSD 1 TB,Intel HD Graphics 620,"14.0"", 1920 x 1080 Pixels, IPS, 300 nits, IPS FHD",0.996 kg,Windows 10 Pro,ASUS Expertbook B9450FA-BM0616R/ i7-10510U,49.990.000 ₫
31,Intel Core i5-10th-gen,"16 GB, LPDDR4X, 3733 MHz",SSD 512 GB,Intel Iris Plus Graphics,"13.3"", 2560 x 1600 Pixel, IPS, IPS LCD LED Backlit, True Tone",1.4,Mac OS,MacBook Pro 13" 2020 Touch Bar 2.0GHz Core i5 512GB,47.990.000 ₫
32,Intel Core i7-1065G7,"16 GB, LPDDR4, 3200 MHz",SSD 512 GB,Intel Iris Plus Graphics,"13.3"", 3840 x 2160 Pixel, AMOLED, 60 Hz, 400 nits, BrightView Micro-edge WLED-backlit",1.3,Windows 10,HP Spectre x360 13,47.490.000 ₫
33,Intel Core i7-10510U,"16 GB, LPDDR3, 2133 MHz",Đang cập nhật,Intel UHD Graphics,"14.0"", 2560 x 1440 Pixel, WVA, 60 Hz, 300 nits, WVA Anti-glare LED Backlit Narrow Border",1.1,Windows 10,Lenovo ThinkPad X1 Carbon 8 i7 10510U,44.990.000 ₫
34,Intel Core i5-10210U,"16 GB, LPDDR3, 2133 MHz",Đang cập nhật,Intel UHD Graphics,"14.0"", 2560 x 1440 Pixel, WVA, 60 Hz, 300 nits, WVA Anti-glare LED Backlit Narrow Border",1.1,Windows 10,Lenovo ThinkPad X1 Carbon 8 i5 10210U,42.990.000 ₫
35,Intel Core i7-1165G7,"16 GB, LPDDR4X, 4266 MHz",SSD 1 TB,Intel Iris Xe Graphics,"13.3"", 3840 x 2160 Pixel, OLED, 60 Hz, 400 nits, LED-backlit",1.2,Windows 10,Asus Zenbook Flip UX371EA-HL701TS i7 1165G7,39.990.000 ₫
36,Intel Core i5-1135G7,"8 GB, LPDDR4, 4266 MHz",SSD 256 GB,Intel Iris Xe Graphics,"13.4"", 1920 x 1080 Pixel, WVA, 60 Hz, 400 nits, LED-backlit",1.32,Windows 10,Dell XPS 13 9310 i5 1135G7,38.990.000 ₫
37,Intel Core i5-1135G7,"8 GB, LPDDR4X, 4266 MHz",SSD 512 GB,Intel Iris Xe Graphics,"13.3"", 1920 x 1200 Pixel, WVA, 60 Hz, 500 nits, WVA Anti-glare LED Backlit Narrow Border",1.26,Windows 10,Dell XPS 13 9310 i5 1135G7,38.590.000 ₫
38,,,,,,,,ASUS Expertbook B9450FA-BM0324T i5-10210U,37.990.000 ₫
39,Intel Core i7-10750H,"16 GB, DDR4, 2666 MHz",SSD 1 TB,NVIDIA GeForce RTX 2060 6 GB,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz",2.3,Windows 10,MSI Leopard Gaming GL65 10SEK-235VN/i7-10750H,35.990.000 ₫
40,Intel Core i7-10510U,"16 GB, DDR4, 3200 MHz",SSD 512 GB,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 250 nits, WVA Anti-glare LED Backlit Narrow Border",1.35,Windows 10,Lenovo ThinkPad T14s Gen 1 i7 10510U/20T0005RVN,34.990.000 ₫
41,Apple M1,"8 GB, LPDDR4",SSD 256 GB,Apple M1 GPU 8 nhân,"13.3"", 2560 x 1600 Pixel, IPS, IPS LCD LED Backlit, True Tone",1.4,Mac OS,MacBook Pro 13" 2020 Touch Bar M1 256GB,34.990.000 ₫
42,Intel Core i5-8th-gen,"8 GB, LPDDR3, 2133 MHz",SSD 256 GB,Intel Iris Plus Graphics 645,"13.3"", 2560 x 1600 Pixel, IPS, IPS LCD LED Backlit, True Tone",1.4,Mac OS,MacBook Pro 13" 2020 Touch Bar 1.4GHz Core i5,34.990.000 ₫
43,Intel Core i5-10th-gen,"8 GB, LPDDR4, 3733 MHz",SSD 512 GB,Intel Iris Plus Graphics,"13.3"", 2560 x 1600 Pixel, IPS, IPS LCD LED Backlit, True Tone",1.29,Mac OS,MacBook Air 13" 2020 1.1GHz Core i5 512GB,34.990.000 ₫
44,Intel Core i5-10210U,"16 GB, DDR4, 3200 MHz",Đang cập nhật,Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 250 nits, WVA Anti-glare LED Backlit Narrow Border",1.35,Windows 10,Lenovo ThinkPad T14s Gen 1 i5 10210U/20T0005QVN,32.990.000 ₫
45,Intel Core i7-10750H,"16 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1660Ti 6 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, WVA, 120 Hz, 250 nits, WVA Anti-glare LED Backlit Narrow Border",2.58,Windows 10,Dell Gaming G3500B i7 10750H/P89F002G3500B,31.590.000 ₫
46,Intel Core i5-10300H,"16 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce RTX 2060 6 GB,"15.6"", 1920 x 1080 Pixel, TFT IPS, 144 Hz, Acer ComfyView LED-backlit",2.3,Windows 10,Acer Nitro Gaming 5 AN515-55-55E3/i5-10300H,28.990.000 ₫
47,Intel Core i3-10th-gen,"8 GB, LPDDR4, 3733 MHz",SSD 256 GB,Intel Iris Plus Graphics,"13.3"", 2560 x 1600 Pixel, IPS, IPS LCD LED Backlit, True Tone",1.29,Mac OS,MacBook Air 13" 2020 1.1GHz Core i3 256GB,28.990.000 ₫
48,Apple M1,"8 GB, LPDDR4",SSD 256 GB,Apple M1 GPU 7 nhân,"13.3"", 2560 x 1600 Pixel, IPS, IPS LCD LED Backlit, True Tone",1.29,Mac OS,MacBook Air 13" 2020 M1 256GB,28.990.000 ₫
49,Intel Core i7-10750H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.23,Windows 10,HP Pavilion Gaming 15 dk1086TX i7 10750H,28.490.000 ₫
50,Intel Core i7-1165G7,"8 GB, LPDDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,"13.3"", 1920 x 1080 Pixel, IPS, 60 Hz, BrightView Micro-edge WLED-backlit",1.25,Windows 10,HP Envy 13 ba1030TU i7 1165G7/2K0B6PA,28.290.000 ₫
51,Intel Core i7-10510U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics,"13.3"", 1920 x 1080 Pixel, IPS, BrightView Micro-edge WLED-backlit",1.3,Windows 10,HP Envy 13-aq1047TU/i7-10510U,28.290.000 ₫
52,Intel Core i5-10210U,"8 GB, LPDDR3, 2133 MHz",SSD 512 GB,NVIDIA GeForce MX250 2 GB & Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, Truelife LED-Backlit",1.32,Windows 10,Dell Inspiron N7490 i5 10210U,27.990.000 ₫
53,Intel Core i7-10750H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, WVA, 120 Hz, 250 nits, WVA Anti-glare LED Backlit Narrow Border",2.56,Windows 10,Dell Gaming G3500A i7 10750H/P89F002G3500A,27.590.000 ₫
54,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, 300 nits, Anti-glare LED-backlit",1.9,Windows 10,Dell Insprion N7501 i5 10300H,27.590.000 ₫
55,Intel Core i7-10510U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,Intel UHD Graphics,"13.3"", 1920 x 1080 Pixel, IPS, BrightView Micro-edge WLED-backlit",1.26,Windows 10,HP Envy 13-aq1023TU/i7-10510U,27.490.000 ₫
56,Intel Core i5-1135G7,"8 GB, LPDDR4, 4266 MHz",SSD 512 GB,Intel Iris Xe Graphics,"13.3"", 1920 x 1080 Pixel, WVA, 60 Hz, 300 nits, Truelife LED-Backlit",1.37,Windows 10,Dell Inspiron N7306 i5 1135G7,27.290.000 ₫
57,AMD Ryzen 7-3700U,"8 GB, DDR4, 2400 MHz",SSD 256 GB,AMD Radeon RX Graphics Vega 10,"13.3"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, LED-backlit",1.31,Windows 10,HP ENVY X360-AR0072AU/R7-3700U,26.890.000 ₫
58,Intel Core i7-9750H,"8 GB, DDR4, 2666 MHz",SSD 1000 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, LED-backlit",2.3,Windows 10,Lenovo Legion Y540-15IRH/i7-9750H,26.790.000 ₫
59,Intel Core i7-10750H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, LED-backlit",2.3,Windows 10,Acer Nitro Gaming AN515-55-77P9/i7-10750H,26.490.000 ₫
60,Intel Core i7-10870H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel HD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, LED Backlit",2.3,Windows 10,Asus TUF Gaming FX506LI-HN096T/i7-10870H,26.290.000 ₫
61,Intel Core i5-1135G7,"8 GB, LPDDR4X, 4266 MHz",SSD 512 GB,Intel Iris Xe Graphics,"13.3"", 1920 x 1080 Pixel, OLED, 60 Hz, 400 nits, LED-backlit",1.3,Windows 10,Asus Zenbook Flip UX363EA-HP130T/i5-1135G7,25.990.000 ₫
62,Intel Core i7-1165G7,"16 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, WVA Anti-glare LED Backlit Narrow Border",1.7,Windows 10,Dell Vostro V5502A i7 1165G7,25.590.000 ₫
63,Intel Core i7-1165G7,"8 GB, LPDDR4, 4266 MHz",SSD 512 GB,NVIDIA GeForce MX350 2 GB & Intel Iris Xe Graphics,"13.3"", 1920 x 1080 Pixel, WVA, 60 Hz, 300 nits, WVA Anti-glare LED Backlit Narrow Border",1.23,Windows 10,Dell Inspiron N5301 i7 1165G7,25.290.000 ₫
64,Intel Core i7-1165G7,"16 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce MX330 2 GB & Intel Iris Plus Graphics,"14.0"", 1920 x 1080 Pixel, WVA, 60 Hz, 300 nits, Anti-glare LED-backlit",1.41,Windows 10,Dell Vostro V5402 i7 1165G7,25.190.000 ₫
65,Intel Core i7-8565U,"8 GB, DDR4, 2400 MHz",SSD 512 GB,NVIDIA GeForce MX250 2 GB & Intel UHD Graphics,"14.0"", 1920 x 1080 Pixel, IPS, LED-backlit",1.5,Windows 10,Acer Swift 3 SF314 56G 78QS i7 8565U/NX.HAQSV.001,24.990.000 ₫
66,Intel Core i7-10750H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, IPS LCD LED Backlit, True Tone",2.3,Windows 10,MSI Leopard Gaming GL65 10SCXK-089VN/i7-10750H,24.590.000 ₫
67,Intel Core i7-1165G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce MX330 2 GB & Intel Iris Xe Graphics,"15.6"", 1920 x 1080 Pixel, WVA, 60 Hz, WVA Anti-glare LED Backlit Narrow Border",1.65,Windows 10,Dell Inspiron N5502A i7 1165G7,24.090.000 ₫
68,Intel Core i7-9750H,"8 GB, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, IPS LCD LED Backlit, True Tone",1.86,Windows 10,MSI Gaming GF63 9SCSR-846VN/i7-9750H,23.990.000 ₫
69,Intel Core i5-1135G7,"8 GB, LPDDR4",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, IPS LCD LED Backlit, True Tone",1.29,Windows 10,MSI Prestige14 Evo-206VN/i5-1135G7,23.990.000 ₫
70,AMD Ryzen 7-4800H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & AMD Radeon Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, LED-backlit",2.3,Windows 10,Asus TUF FA506II-AL016T/R7-4800H,23.690.000 ₫
71,Intel Core i5-10300H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel HD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.39,Windows 10,Asus Strix G512-IAL013T/I5-10300H,23.490.000 ₫
72,Intel Core i5-1135G7,"8 GB, DDR4, 3200 MHz",SSD 512 GB,Intel Iris Xe Graphics,"13.3"", 1920 x 1080 Pixel, IPS, 60 Hz, 400 nits, LED-backlit",1.31,Windows 10,HP Envy 13 ba1028TU i5 1135G7,23.290.000 ₫
73,Intel Core i7-10510U,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce MX250 2 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, 250 nits, Anti-glare LED-backlit",2,Windows 10,HP ProBook 450 G7/i7-10510U,23.290.000 ₫
74,AMD Ryzen 5-4500U,"8 GB, DDR4, 3200 MHz",SSD 256 GB,AMD Radeon Graphics Vega 6,"13.3"", 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, FHD Touch",1.32kg,Windows 10 Home,HP Envy x360 13 ay0067AU R5 4500U/171N1PA,22.990.000 ₫
75,Intel Core i5-9300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel HD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare LED-backlit",2.42,Windows 10,Asus Strix G531GT-HN553T/I5-9300H,22.590.000 ₫
76,Intel Core i5-1135G7,"8 GB, LPDDR4X, 4266 MHz",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, LED-backlit",1.17,Windows 10,Asus Zenbook UX425EA-BM066T/i5-1135G7,22.490.000 ₫
77,Intel Core i5-1135G7,"8 GB, LPDDR4, 4266 MHz",SSD 512 GB,Intel Iris Xe Graphics,"14.0"", 1920 x 1080 Pixel, IPS, 60 Hz, 300 nits, Anti-glare LED-backlit",1.17,Windows 10,Asus Zenbook UX425EA-BM069T/Core i5-1135G7,22.490.000 ₫
78,Intel Core i5-1135G7,"8 GB, LPDDR4, 3200 MHz",SSD 256 GB,Intel Iris Xe Graphics,"13.3"", 1920 x 1080 Pixel, IPS, 60 Hz, BrightView Micro-edge WLED-backlit",1.25,Windows 10,HP Envy 13 ba1027TU i5 1135G7/2K0B1PA,22.390.000 ₫
79,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, Acer ComfyView Anti-glare LED-backlit",2.3,Windows 10,Acer Nitro Gaming 5 AN515-55-5923/Core i5-10300H,22.390.000 ₫
80,Intel Core i5-10300H,"8 GB, DDR4, 2666 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 60 Hz, LED-backlit",2.3,Windows 10,Acer Nitro 5 AN515-55-5304 i5 10300H/NH.Q7NSV.002,22.390.000 ₫
81,Intel Core i5-10300H,"8 GB, DDR4, 2933 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650Ti 4 GB & Intel HD Graphics 630,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, LED Backlit",2.3,Windows 10,Asus TUF Gaming FX506LI-HN039T/i5-10300H,22.290.000 ₫
82,Intel Core i5-10300H,"8 GB, DDR4, 3200 MHz",SSD 512 GB,NVIDIA GeForce GTX 1650 4 GB & Intel UHD Graphics,"15.6"", 1920 x 1080 Pixel, IPS, 144 Hz, 250 nits, Anti-glare WLED-backlit",2.3,Windows 10,HP Pavilion Gaming 15-dk1083TX i5 10300H/206R0PA,22.290.000 ₫
