Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,Độ phân giải,Weight,Price
ASUS,Intel Core i7-10510U,16 GB,2133 MHz,1000.0,0.0,On board,0,14.0, 1920 x 1080,0.996,49990000.0
MacBook,Intel Core i5-10th-gen,16 GB,3733 MHz,512.0,0.0,On board,0,13.3, 2560 x 1600,1.4,47990000.0
HP,Intel Core i7-1065G7,16 GB,3200 MHz,512.0,0.0,On board,0,13.3, 3840 x 2160,1.3,47490000.0
Asus,Intel Core i7-1165G7,16 GB,4266 MHz,1000.0,0.0,On board,0,13.3, 3840 x 2160,1.2,39990000.0
Dell,Intel Core i5-1135G7,8 GB,4266 MHz,256.0,0.0,On board,0,13.4, 1920 x 1080,1.32,38990000.0
Dell,Intel Core i5-1135G7,8 GB,4266 MHz,512.0,0.0,On board,0,13.3, 1920 x 1200,1.26,38590000.0
MSI,Intel Core i7-10750H,16 GB,2666 MHz,1000.0,0.0,NVIDIA GeForce RTX 2060,6,15.6, 1920 x 1080,2.3,35990000.0
Lenovo,Intel Core i7-10510U,16 GB,3200 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.35,34990000.0
MacBook,Intel Core i5-8th-gen,8 GB,2133 MHz,256.0,0.0,On board,0,13.3, 2560 x 1600,1.4,34990000.0
MacBook,Intel Core i5-10th-gen,8 GB,3733 MHz,512.0,0.0,On board,0,13.3, 2560 x 1600,1.29,34990000.0
Dell,Intel Core i7-10750H,16 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1660Ti,6,15.6, 1920 x 1080,2.58,31590000.0
Acer,Intel Core i5-10300H,16 GB,2933 MHz,512.0,0.0,NVIDIA GeForce RTX 2060,6,15.6, 1920 x 1080,2.3,28990000.0
MacBook,Intel Core i3-10th-gen,8 GB,3733 MHz,256.0,0.0,On board,0,13.3, 2560 x 1600,1.29,28990000.0
HP,Intel Core i7-10750H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.23,28490000.0
HP,Intel Core i7-1165G7,8 GB,3200 MHz,512.0,0.0,On board,0,13.3, 1920 x 1080,1.25,28290000.0
HP,Intel Core i7-10510U,8 GB,2400 MHz,512.0,0.0,On board,0,13.3, 1920 x 1080,1.3,28290000.0
Dell,Intel Core i5-10210U,8 GB,2133 MHz,512.0,0.0,NVIDIA GeForce MX250,2,14.0, 1920 x 1080,1.32,27990000.0
Dell,Intel Core i7-10750H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.56,27590000.0
Dell,Intel Core i5-10300H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,1.9,27590000.0
HP,Intel Core i7-10510U,8 GB,2400 MHz,512.0,0.0,On board,0,13.3, 1920 x 1080,1.26,27490000.0
Dell,Intel Core i5-1135G7,8 GB,4266 MHz,512.0,0.0,On board,0,13.3, 1920 x 1080,1.37,27290000.0
HP,AMD Ryzen 7-3700U,8 GB,2400 MHz,256.0,0.0,On board,0,13.3, 1920 x 1080,1.31,26890000.0
Lenovo,Intel Core i7-9750H,8 GB,2666 MHz,1000.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,26790000.0
Acer,Intel Core i7-10750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,26490000.0
Asus,Intel Core i7-10870H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,26290000.0
Asus,Intel Core i5-1135G7,8 GB,4266 MHz,512.0,0.0,On board,0,13.3, 1920 x 1080,1.3,25990000.0
Dell,Intel Core i7-1165G7,16 GB,3200 MHz,512.0,0.0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.7,25590000.0
Dell,Intel Core i7-1165G7,8 GB,4266 MHz,512.0,0.0,NVIDIA GeForce MX350,2,13.3, 1920 x 1080,1.23,25290000.0
Dell,Intel Core i7-1165G7,16 GB,3200 MHz,512.0,0.0,NVIDIA GeForce MX330,2,14.0, 1920 x 1080,1.41,25190000.0
Acer,Intel Core i7-8565U,8 GB,2400 MHz,512.0,0.0,NVIDIA GeForce MX250,2,14.0, 1920 x 1080,1.5,24990000.0
MSI,Intel Core i7-10750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,24590000.0
Dell,Intel Core i7-1165G7,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.65,24090000.0
MSI,Intel Core i7-9750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,1.86,23990000.0
MSI,Intel Core i5-1135G7,8 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.29,23990000.0
Asus,AMD Ryzen 7-4800H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,23690000.0
Asus,Intel Core i5-10300H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.39,23490000.0
HP,Intel Core i5-1135G7,8 GB,3200 MHz,512.0,0.0,On board,0,13.3, 1920 x 1080,1.31,23290000.0
HP,Intel Core i7-10510U,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce MX250,2,15.6, 1920 x 1080,2,23290000.0
HP,AMD Ryzen 5-4500U,8 GB,3200 MHz,256.0,0.0,On board,0,13.3, 1920 x 1080,1.32,22990000.0
Asus,Intel Core i5-9300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.42,22590000.0
Asus,Intel Core i5-1135G7,8 GB,4266 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.17,22490000.0
Asus,Intel Core i5-1135G7,8 GB,4266 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.17,22490000.0
HP,Intel Core i5-1135G7,8 GB,3200 MHz,256.0,0.0,On board,0,13.3, 1920 x 1080,1.25,22390000.0
Acer,Intel Core i5-10300H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22390000.0
Acer,Intel Core i5-10300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22390000.0
Asus,Intel Core i5-10300H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22290000.0
HP,Intel Core i5-10300H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,22290000.0
Asus,AMD Ryzen 5-4600H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22190000.0
Lenovo,AMD Ryzen 5-4600H,8 GB,3200 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,21990000.0
Dell,Intel Core i5-10300H,8 GB,2933 MHz,256.0,1000.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.34,21990000.0
Acer,Intel Core i5-9300H,8 GB,2400 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,2.3,21790000.0
HP,Intel Core i5-1035G4,8 GB,3200 MHz,256.0,0.0,On board,0,13.3, 1920 x 1080,1.25,21690000.0
HP,Intel Core i5-10210U,8 GB,2400 MHz,512.0,0.0,On board,0,13.3, 1920 x 1080,1.17,21390000.0
MSI,Intel Core i5-10300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650 Max-Q,4,15.6, 1920 x 1080,1.86,21190000.0
Asus,Intel Core i5-1135G7,8 GB,3200 MHz,256.0,0.0,On board,0,13.3, 1920 x 1080,1.1,21190000.0
Asus,Intel Core i5-1035G1,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce MX350,2,15.6, 1920 x 1080,1.8,20990000.0
Dell,Intel Core i5-10210U,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce MX230,2,14.0, 1920 x 1080,1.12,20590000.0
MSI,Intel Core i5-9300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,1.86,20490000.0
Asus,Intel Core i5-9300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19990000.0
MSI,Intel Core i5-10300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.86,19990000.0
ACER,AMD Ryzen 7-3750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.1,19990000.0
Acer,AMD Ryzen 7-3750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.1,19790000.0
Dell,Intel Core i5-1135G7,8 GB,3200 MHz,256.0,0.0,NVIDIA GeForce MX330,2,14.0, 1920 x 1080,1.4,19690000.0
HP,AMD Ryzen 5-3550H,8 GB,2400 MHz,128.0,1000.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.98,19590000.0
HP,AMD Ryzen 5-4600H,8 GB,3200 MHz,128.0,1000.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.98,19590000.0
MSI,AMD Ryzen 5-4600H,8 GB,3200 MHz,512.0,0.0,AMD Radeon RX 5300M,3,15.6, 1920 x 1080,1.96,19490000.0
Asus,AMD Ryzen 7-3750H,8 GB,2400 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19090000.0
Asus,AMD Ryzen 7-4700U,8 GB,3200 MHz,1000.0,0.0,On board,0,14.0, 1920 x 1080,1.45,19090000.0
Asus,Intel Core i5-1135G7,8 GB,3200 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.4,18990000.0
MacBook,Intel Core i5-5th-gen,8 GB,1600 MHz,128.0,0.0,On board,0,13.3, 1440 x 900,1.35,18990000.0
Acer,AMD Ryzen 5-3550H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.1,18790000.0
Dell,Intel Core i5-1135G7,8 GB,3200 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.7,18690000.0
MSI,AMD Ryzen 5-4600H,8 GB,3200 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.96,18690000.0
MTXT,Intel Core i5-9300H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce GTX 1650 Max-Q,4,15.6, 1920 x 1080,1.86,18690000.0
HP,Intel Core i5-1035G1,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce MX250,2,15.6, 1920 x 1080,1.761,18190000.0
Dell,Intel Core i5-1135G7,8 GB,3200 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.4,18190000.0
ASUS,AMD Ryzen 5-3550H,8 GB,2400 MHz,512.0,0.0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.14,18090000.0
Asus,Intel Core i5-10210U,8 GB,2400 MHz,512.0,0.0,NVIDIA GeForce MX250,2,15.6, 1920 x 1080,1.7,18090000.0
HP,Intel Core i7-1165G7,8 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1366 x 768,1.91,18090000.0
Dell,Intel Core i5-8265U,4 GB,2400 MHz,0.0,1000.0,NVIDIA GeForce MX130,2,15.6, 1920 x 1080,1.95,17990000.0
MSI,Intel Core i5-1135G7,8 GB,3200 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.3,17990000.0
Lenovo,AMD Ryzen 7-4700H,8 GB,3200 MHz,512.0,0.0,On board,0,14, 1920 x 1080,1.5,17990000.0
Lenovo,Intel Core i5-10210U,8 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.77,17990000.0
HP,Intel Core i5-10210U,8 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.6,17590000.0
Lenovo,Intel Core i5-1035G1,8 GB,2666 MHz,512.0,0.0,AMD Radeon 630,2,15.6, 1920 x 1080,1.8,17490000.0
HP,Intel Core i5-1035G1,8 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,1.706,17290000.0
Lenovo,Intel Core i5-1035G1,8 GB,3200 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,1.66,17190000.0
Lenovo,Intel Core i5-1035G1,8 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,2,16990000.0
Asus,Intel Core i5-10210U,8 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,16990000.0
Asus,Intel Core i5-1135G7,8 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.35,16890000.0
HP,Intel Core i5-1135G7,8 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1366 x 768,1.91,16190000.0
Lenovo,Intel Core i5-1035G1,8 GB,3200 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.66,16190000.0
Asus,Intel Core i5-1035G1,4 GB,2666 MHz,512.0,0.0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.78,16090000.0
Dell,Intel Core i5-10210U,8 GB,2666 MHz,256.0,0.0,AMD Radeon 610,2,15.6, 1920 x 1080,2.17,16090000.0
Dell,AMD Ryzen 7-3700U,8 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.7,16090000.0
Lenovo,Intel Core i5-1135G7,8 GB,3200 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,1.66,15990000.0
HP,Intel Core i5-1035G1,4 GB,2666 MHz,256.0,0.0,NVIDIA GeForce MX250,2,15.6, 1920 x 1080,1.755,15990000.0
Lenovo,Intel Core i5-1035G1,8 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,15990000.0
Dell,Intel Core i5-1035G1,4 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,2,15690000.0
Dell,Intel Core i5-8265U,4 GB,2666 MHz,0.0,1000.0,AMD Radeon 520,2,15.6, 1920 x 1080,2.28,15490000.0
Dell,Intel Core i5-1035G1,4 GB,2666 MHz,256.0,0.0,NVIDIA GeForce MX230,2,15.6, 1920 x 1080,2,15390000.0
Dell,Intel Core i5-1035G1,8 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.9,15290000.0
HP,Intel Core i5-1035G1,4 GB,2666 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.6,15290000.0
Acer,Intel Core i5-1035G1,8 GB,2400 MHz,512.0,0.0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.9,14990000.0
Dell,AMD Ryzen 5-3500U,8 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.79,14799000.0
HP,Intel Core i3-1005G1,4 GB,3200 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.65,14790000.0
Asus,AMD Ryzen 5-3500U,8 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,14690000.0
Asus,Intel Core i5-1035G1,4 GB,2400 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,1.9,14690000.0
Asus,Intel Core i3-8145U,4 GB,2400 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.8,14490000.0
Asus,Intel Core i5-1035G1,4 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.6,14190000.0
Asus,Intel Core i3-8145U,4 GB,2400 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.54,13990000.0
Asus,Intel Core i3-8145U,4 GB,2666 MHz,0.0,1000.0,On board,0,14.0, 1920 x 1080,1.4,13890000.0
Dell,Intel Core i3-10110U,4 GB,2666 MHz,128.0,0.0,On board,0,14.0, 1920 x 1080,1.49,13790000.0
HP,Intel Core i3-10110U,4 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1366 x 768,1.6,13690000.0
Acer,AMD Ryzen 5-2500U,4 GB,2666 MHz,0.0,1000.0,On board,0,15.6, 1920 x 1080,1.7,13490000.0
Asus,Intel Core i3-1115G4,4 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.35,13390000.0
Dell,Intel Core i3-1005G1,4 GB,2666 MHz,128.0,0.0,On board,0,15.6, 1920 x 1080,2.05,13390000.0
Lenovo,Intel Core i3-1005G1,8 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.6,13290000.0
Lenovo,Intel Core i3-1005G1,4 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,13290000.0
Asus,Intel Core i3-10110U,4 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,13190000.0
Asus,AMD Ryzen 3-4300U,4 GB,2666 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.5,13190000.0
HP,Intel Core i5-8265U,4 GB,2400 MHz,0.0,1000.0,On board,0,14.0, 1920 x 1080,1.59,13090000.0
Lenovo,AMD Ryzen 5-3500U,4 GB,2400 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.8,12990000.0
Acer,AMD Ryzen 5-3500U,8 GB,2400 MHz,512.0,0.0,AMD Radeon 625,2,15.6, 1920 x 1080,1.7,12790000.0
HP,Intel Core i3-1005G1,8 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1366 x 768,1.65,12690000.0
HP,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.693,12590000.0
Asus,AMD Ryzen 5-3500U,4 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.9,12590000.0
HP,Intel Core i3-10110U,4 GB,2666 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.633,12590000.0
Asus,Intel Core i3-10110U,4 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,12490000.0
Lenovo,Intel Core i3-1005G1,4 GB,2666 Mhz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.6,12290000.0
Acer,Intel Core i5-1035G1,4 GB,2400 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.7,12290000.0
Lenovo,Intel Core i3-8130U,8 GB,2133 MHz,512.0,0.0,NVIDIA GeForce MX110,2,15.6, 1920 x 1080,1.85,11990000.0
Dell,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,2.15,11790000.0
Dell,Intel Core i3-10110U,4 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.99,11790000.0
Dell,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,2,11490000.0
Asus,Intel Core i3-8145U,4 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,11490000.0
Dell,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.91,11440000.0
Asus,AMD Ryzen 3-3250U,4 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,11390000.0
Lenovo,AMD Ryzen 3-4300U,4 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,11290000.0
Asus,Intel Core i3-1005G1,8 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,1.90,11290000.0
HP,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,NVIDIA GeForce MX130,2,15.6, 1366 x 768,1.75,11190000.0
Asus,AMD Ryzen 3-3200U,4 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.5,11190000.0
Asus,Intel Core i3-8145U,4 GB,2400 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,1.9,10890000.0
Dell,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.724,10790000.0
Asus,Intel Core i3-8145U,4 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.6,10690000.0
HP,AMD Ryzen 3-3250U,4 GB,2400 MHz,512.0,0.0,On board,0,14.0, 1366 x 768,1.47,10690000.0
HP,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1366 x 768,1.65,10690000.0
Asus,Intel Core i3-1005G1,4 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,1.90,10690000.0
HP,Intel Core i3-8130U,4 GB,2666 MHz,256.0,0.0,On board,0,14.0, 1366 x 768,1.42,10690000.0
Asus,Intel Core i3-1005G1,4 GB,2400 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.6,10290000.0
Asus,Intel Core i3-1005G1,4 GB,2400 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.6,10290000.0
Asus,Intel Core i3-1005G1,4 GB,2666 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.6,10290000.0
HP,AMD Ryzen 3-3250U,4 GB,2400 MHz,256.0,0.0,On board,0,14.0, 1366 x 768,1.47,9790000.0
Asus,AMD Ryzen 3-3250U,4 GB,2400 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.9,9690000.0
Acer,AMD Ryzen 3-3250U,4 GB,2400 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.7,9490000.0
Asus,AMD Ryzen 3-3200U,4 GB,2400 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.9,9490000.0
Lenovo,AMD Ryzen 3-3250U,4 GB,2400 MHz,256.0,0.0,On board,0,15.6, 1920 x 1080,1.5,9490000.0
Lenovo,AMD Ryzen 3-3200U,4 GB,2400 MHz,256.0,0.0,On board,0,14.0, 1920 x 1080,1.6,9290000.0
Asus,Intel Pentium N5000,4 GB,2400 MHz,256.0,0.0,On board,0,15.6, 1366 x 768,1.7,7990000.0
Asus,Intel Pentium N5030,4 GB,2400 MHz,256.0,0.0,On board,0,15.6, 1366 x 768,1.7,7990000.0
Acer,Intel Celeron N4020,4 GB,2666 MHz,256.0,0.0,On board,0,15.6, 1280 x 720,1.7,6999000.0
HP,Intel Core i7-10750H,16 GB,2933 MHz,1000.0,0.0,NVIDIA GeForce GTX 1660Ti Max-Q,6,15.6, 1920 x 1080,2.14,54490000.0
MSI,Intel Core i7-10750H,16 GB,2666 MHz,512.0,0.0,On board,0,15.6, 1920 x 1080,2.3,33490000.0
MSI,Intel Core i7-10750H,8 GB,2666 MHz,512.0,0.0,NVIDIA GeForce RTX 2060,6,15.6, 1920 x 1080,1.86,32490000.0
HP,Intel Core i5-10210U,8 GB,1600 MHz,256.0,0.0,NVIDIA Quadro P520,4,14.0, 1920 x 1080,1.41,31400000.0
Dell,Intel Core i7-10750H,8 GB,2933 MHz,512.0,0.0,NVIDIA GeForce GTX 1660Ti,6,15.6, 1920 x 1080,2.34,30890000.0
MSI,Intel Core i7-1185G7,16 GB,2666 MHz,512.0,0.0,On board,0,14.0, 1920 x 1080,1.29,29990000.0
