,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Trọng lượng (kg),Price
88,HP ENVY 13-aq1022TU/i5-10210U,Core i5,8 GB,SSD 512 GB,Intel UHD Graphics 620,"13.3""",1.17,21.390.000 ₫
89,MSI GF63 Thin 10SCXR-427VN/Core i5-10300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 MaxQ 4GB,"15.6""",1.86,21.190.000 ₫
90,Asus Zenbook UX325EA-EG079T/i5-1135G7,Core i5,8 GB,SSD 256 GB,Intel Iris Xe Graphics,"13.3""",1.1,21.190.000 ₫
91,Asus Vivobook S533JQ-BQ085T/i5-1035G1,Core i5,8 GB,SSD 512 GB,GeForce MX350 2GB,"15.6""",1.8,20.990.000 ₫
92,Dell Inspiron N5490 i5 10210U,Core i5,8 GB,SSD 512 GB,GeForce MX230 2GB,"14.0""",1.12,20.590.000 ₫
93,MSI Gaming GF63 9SCSR-1057VN/i5 9300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",1.86,20.490.000 ₫
94,Asus TUF Gaming FX505GT-HN111T/i5-9300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650-4GB,"15.6""",2.2,19.990.000 ₫
95,MSI Gaming GF63-1218VN/Core i5-10300H,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",1.86,19.990.000 ₫
96,ACER Aspire Gaming 7 A715-41G-R1AZ/R7-3750H,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.1,19.990.000 ₫
97,Acer Aspire Gaming A715-41G-R150/R7-3750H,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.1,19.790.000 ₫
98,Dell Vostro V5402A i5 1135G7,Core i5,8 GB,SSD 256 GB,GeForce MX330 2GB,"14.0""",1.4,19.690.000 ₫
99,HP Pavilion Gaming 15-ec0050AX/R5-3550H,Ryzen 5,8 GB,HDD 1000 GB & SSD 128 GB,GeForce GTX 1650 4GB,"15.6""",1.98,19.590.000 ₫
100,HP Pavilion Gaming 15 ec1054AX R5 4600H/1N1H6PA,Ryzen 5,8 GB,HDD 1000 GB & SSD 128 GB,GeForce GTX 1650 4GB,"15.6""",1.98 Kg,19.590.000 ₫
101,MSI Bravo 15 A4DCR-070VN/R5 4600H,Ryzen 5,8 GB,SSD 512 GB,Radeon RX 5300M 3GB,"15.6""",1.96,19.490.000 ₫
102,Asus TUF Gaming FX505DT-HN478T/R7-3750H,Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.2,19.090.000 ₫
103,Asus VivoBook M413IA-EK481T/R7-4700U,Ryzen 7,8 GB,SSD 1 TB,AMD Graphics,"14.0""",1.45,19.090.000 ₫
104,Asus Vivobook S433EA-EB099T/i5-1135G7,Core i5,8 GB,SSD 512 GB,VGA Iris Xe,"14.0""",1.4,18.990.000 ₫
105,"MacBook Air 13"" 2017 1.8GHz Core i5 128GB",Core i5,8 GB,SSD 128 GB,Intel HD Graphics 6000,"13.3""",1.35,18.990.000 ₫
106,Acer Aspire Gaming A715-41G-R282/R5-3550H,Ryzen 5,8 GB,SSD 512 GB,GeForce GTX 1650 Ti 4GB,"15.6""",2.1,18.790.000 ₫
107,Dell Vostro V5502 i5 1135G7,Core i5,8 GB,SSD 256 GB,Intel Iris Xe Graphics,"15.6""",1.7,18.690.000 ₫
108,MSI Gaming Bravo15 A4DCR-270VN/R5-4600H,Ryzen 5,8 GB,SSD 256 GB,AMD Radeon R5300M-3GB DDR6,"15.6""",1.96,18.690.000 ₫
109,MTXT MSI GF63 9SCXR i5 9300H/075VN,Core i5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",1.86,18.690.000 ₫
110,HP Pavilion 15-cs3060TX/i5-1035G1,Core i5,8 GB,SSD 512 GB,GeForce MX250 2GB,"15.6""",1.761,18.190.000 ₫
111,Dell Vostro V5402 i5 1135G7,Core i5,8 GB,SSD 256 GB,Intel Iris Xe Graphics,"14.0""",1.4,18.190.000 ₫
112,ASUS TUF Gaming FX505DT-HN488T/R5-3550H,Ryzen 5,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,"15.6""",2.14,18.090.000 ₫
113,Asus Vivobook A512FL-EJ765T/i5-10210U,Core i5,8 GB,SSD 512 GB,GeForce MX250 2GB,"15.6""",1.7,18.090.000 ₫
114,HP 15s fq2029TU i7 1165G7,Core i7,8 GB,SSD 512 GB,Intel Iris Xe Graphics,"15.6""",1.91,18.090.000 ₫
