,Name,CPU,RAM,Ổ cứng,Card đồ họa,Màn hình,Hệ điều hành,Pin,Trọng lượng,Màu sắc,Kích thước,Price
238,"Laptop ASUS ZenBook UM425IA-HM050T (R5-4500U | 8GB | 512GB | AMD Radeon Graphics | 14"" FHD | Win 10)",AMD Ryzen 5-4500U 2.3GHz up to 4.0GHz 8MB,8GB LPDDR4X 3733MHz (Onboard),512GB SSD M.2 PCIE G3X2,AMD Radeon™ Graphics,"14"" FHD (1920 x 1080) IPS, Anti-Glare, 100% sRGB, 400nits",Windows 10 Home,4 Cell 67WHr Lithium-Polymer,1.26kg,Pine Grey,31.9 x 21 x 1.43 (cm),"19,990,000₫"
239,"Laptop ASUS ROG Zephyrus G14 GA401II-HE154T (R7-4800HS | 16GB | 512GB | VGA GTX 1650Ti 4GB | 14"" FHD | Win 10 | AniMe Matrix)",AMD Ryzen 7 4800HS 2.9GHz up to 4.2GHz 8MB,16GB DDR4 3200MHz (8GB + 8GB Onboard),512GB SSD PCIE G3X4,"NVIDIA GeForce GTX 1650Ti 4GB GDDR6 (Boost Clock: 1435MHz, 60W)","14"" FHD (1920 x 1080) IPS, 100% sRGB, Pantone Validated, 300nits",Windows 10 Home,4 Cell 76WHr,1.7kg,Eclipse Gray AniMe Matrix,32.4 x 22.2 x 1.99 (cm),"32,990,000₫"
240,"Laptop HP Envy x360 13-ay0069AU (171N3PA) (R7-4700U | 8GB | 256GB | AMD Radeon Graphics | 13.3"" FHD Touch | Win 10)",AMD Ryzen 7 4700U 2.0GHz up to 4.1GHz 8MB,8GB DDR4 Onboard,256GB PCIe NVMe™ M.2 SSD,AMD Radeon™ Graphics,,Windows 10 Home,3 Cell 51WHr,1.3 kg,Xám đen,306.5 x 194.64 x 16.4 mm,"27,190,000₫"
241,"Laptop HP Envy x360 13-ay0067AU (171N1PA) (R5-4500U | 8GB | 256GB | AMD Radeon Graphics | 13.3"" FHD Touch | Win 10)",AMD Ryzen 5-4500U 2.3GHz up to 4.0GHz 8MB,8GB DDR4 Onboard,256GB PCIe NVMe™ M.2 SSD,AMD Radeon™ Graphics,,Windows 10 Home,3 Cell 51WHr,1.3 kg,Xám đen,306.5 x 194.64 x 16.4 mm,"23,190,000₫"
242,Laptop Lenovo ThinkPad X13 Gen 1 (20T2S04000) (i7-10510U | 8GB | 512GB | Intel UHD Graphics | 13.3” FHD | Freedos),Intel Core i7-10510U 1.8GHz up to 4.9GHz 8MB,8GB DDR4 2666MHz Onboard,512GB SSD M.2 2280 PCIe 3.0 x 4,Intel UHD Graphics ,"13.3"" FHD (1920x1080) WVA 300nits Anti-glare",,6 Cells 48WHrs,1.22 kg,Đen,311.9 x 217.0 x 16.5 (mm),"34,490,000₫"
243,Laptop Lenovo ThinkPad X13 Gen 1 (20T2S01E00) (i5-10210U | 8GB | 512GB | Intel UHD Graphics | 13.3” FHD | Win 10),Intel Core i5-10210U 1.6GHz up to 4.2GHz 6MB,8GB DDR4 2666MHz Onboard,512GB SSD M.2 2280 PCIe 3.0 x 4,Intel UHD Graphics ,"13.3"" FHD (1920x1080) WVA 300nits Anti-glare",Windows 10 Pro,6 Cells 48WHrs,1.22 kg,Đen,311.9 x 217.0 x 16.5 (mm),"31,490,000₫"
244,"Laptop Lenovo ThinkPad T14s Gen 1 (20T0S01R00) (i7-10510U | 8GB | 512GB | Intel UHD Graphics | 14"" FHD | DOS)",Intel Core i7-10510U 1.8GHz up to 4.9GHz 8MB,8GB DDR4 2666MHz Onboard,512GB SSD M.2 2280 PCIe NVMe,Intel UHD Graphics ,"14"" FHD (1920x1080) WVA 250nits Anti-glare",FreeDos,3 Cells 57WHrs,1.27 kg,Đen,328.8 x 225.8 x 16.1 (mm),"34,990,000₫"
245,"Laptop Lenovo ThinkPad T14s Gen 1 (20T0S01P00) (i5-10210U | 8GB | 512GB | Intel UHD Graphics | 14"" FHD | Win 10)",Intel Core i5-10210U 1.6GHz up to 4.2GHz 6MB,8GB DDR4 2666MHz Onboard,512GB SSD M.2 2280 PCIe NVMe,Intel UHD Graphics ,"14"" FHD (1920x1080) WVA 250nits Anti-glare",Windows 10 Pro,3 Cells 57WHrs,1.27 kg,Đen,328.8 x 225.8 x 16.1 (mm),"33,990,000₫"
246,"Laptop Lenovo ThinkPad T14s Gen 1 (20T0S01N00) (i5-10210U | 8GB | 512GB | Intel UHD Graphics | 14"" FHD | DOS)",Intel Core i5-10210U 1.6GHz up to 4.2GHz 6MB,8GB DDR4 2666MHz Onboard,512GB SSD M.2 2280 PCIe NVMe,Intel UHD Graphics ,"14"" FHD (1920x1080) WVA 250nits Anti-glare",Free DOS,3 Cells 57WHrs,1.27 kg,Đen,328.8 x 225.8 x 16.1 (mm),"29,590,000₫"
247,"Laptop Lenovo ThinkPad E14 (20RA007CVA) (i5-10210U | 8GB | 512GB | Intel UHD Graphics | 14"" FHD | DOS)",Intel Core i5-10210U 1.6GHz up to 4.2GHz 6MB,"8GB DDR4 2666MHz (1x SO-DIMM socket, up to 16GB SDRAM)","512GB SSD M.2 2242 PCIe NVMe 3.0x2 (Còn trống 1 khe 2.5"" SATA)",Intel UHD Graphics ,"14"" FHD (1920x1080) WVA 250nits Anti-glare",Free DOS,3 Cells 45WHrs,1.69 kg,Đen,325 x 232 x 18.9 (mm),"17,190,000₫"
248,"Laptop Lenovo ThinkPad E14 (20RAS0KX00) (i5-10210U | 8GB | 256GB | Intel UHD Graphics | 14"" FHD | Freedos)",Intel Core i5-10210U 1.6GHz up to 4.2GHz 6MB,"8GB DDR4 2666MHz (1x SO-DIMM socket, up to 16GB SDRAM)","256GB SSD M.2 2242 PCIe NVMe 3.0x2 (Còn trống 1 khe 2.5"" SATA)",Intel UHD Graphics ,"14"" FHD (1920x1080) WVA 250nits Anti-glare",Free DOS,3 Cells 45WHrs,1.69 kg,Đen,325 x 232 x 18.9 (mm),"16,990,000₫"
