,Name,CPU,RAM,Ổ cứng,Màn hình,Card màn hình,Cổng kết nối,Hệ điều hành,Thiết kế,Kích thước,Thời điểm ra mắt,Price
10,Laptop Lenovo IdeaPad S145 15IIL i3 1005G1/4GB/256GB/Win10 (81W8001XVN),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.0, HDMI, USB 2.0",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày17.9 mm, 1.79kg",2019,10.340.000₫
11,Laptop HP 15s fq1111TU i3 1005G1/4GB/256GB/Win10 (193R0PA),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","4 GB, DDR4 (2 khe), 2666 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 3.0, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 18 mm, 1.69 kg",2020,11.190.000₫
12,Laptop Asus VivoBook X509JA i3 1005G1/4GB/256GB/Win10 (EJ480T),"Intel Core i3 Ice Lake, 1005G1, 1.20 GHz","4 GB, DDR4 (On board +1 khe), 2666 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 22.9 mm, 1.73 kg",2020,10.690.000₫
13,Laptop HP 348 G7 i3 8130U/4GB/256GB/Win10 (9PG83PA),"Intel Core i3 Coffee Lake, 8130U, 2.20 GHz","4 GB, DDR4 (2 khe), 2666 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","14 inch, Full HD (1920 x 1080)",Intel® UHD Graphics 620,"3 x USB 3.1, HDMI, LAN (RJ45), USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 1.99 mm, 1.5 kg",2019,11.190.000₫
14,Laptop Acer Aspire 3 A315 54K 37B0 i3 8130U/4GB/256GB/Win10 (NX.HEESV.00D),"Intel Core i3 Coffee Lake, 8130U, 2.20 GHz","4 GB, DDR4 (On board +1 khe), 2400 MHz","SSD 256GB NVMe PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",Intel® HD Graphics 620,"2 x USB 2.0, USB 3.1, HDMI, LAN (RJ45)",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 19.9 mm, 1.7 kg",2019,10.790.000₫
15,Laptop Asus VivoBook A415EA i5 1135G7/8GB/32GB+512GB/Win10 (EB355T),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, DDR4 (On board), 3200 MHz","Intel Optane 32GB (H10), SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe","14 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.4 kg",2020,17.290.000₫
16,Laptop Apple MacBook Air 2017 i5 1.8GHz/8GB/128GB (MQD32SA/A),"Intel Core i5 Broadwell, 1.80 GHz","8 GB, DDR3L(On board), 1600 MHz",SSD: 128 GB,"13.3 inch, WXGA+(1440 x 900)",Intel HD Graphics 6000,"MagSafe 2, 2 x USB 3.0, Thunderbolt 2",Mac OS,"Vỏ kim loại nguyên khối, PIN liền","Dày 17 mm, 1.35 Kg",2017,18.990.000₫
17,Laptop Asus VivoBook A415EA i5 1135G7/8GB/512GB/Win10 (EB354T),"Intel Core i5 Tiger Lake, 1135G7, 2.40 GHz","8 GB, DDR4 (On board), 3200 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe","14 inch, Full HD (1920 x 1080)",Intel® Iris® Xe Graphics,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.4 kg",2020,16.990.000₫
18,Laptop Asus VivoBook A415EA i3 1115G4/4GB/512GB/Win10 (EB317T),"Intel Core i3 Tiger Lake, 1115G4, 3.00 GHz","4 GB, DDR4 (On board), 3200 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm SSD M.2 PCIe","14 inch, Full HD (1920 x 1080)",Intel UHD Graphics,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa - nắp lưng bằng kim loại, PIN liền","Dày 17.9 mm, 1.4 kg",2020,13.490.000₫
19,Laptop Asus VivoBook X509JP i5 1035G1/8GB/512GB/2GB MX330/Win10 (EJ023T),"Intel Core i5 Ice Lake, 1035G1, 1.00 GHz","8 GB, DDR4 (On board 4GB +1 khe 4GB), 2666 MHz","SSD 512 GB M.2 PCIe, Hỗ trợ khe cắm HDD SATA","15.6 inch, Full HD (1920 x 1080)",NVIDIA GeForce MX330 2GB,"2 x USB 2.0, USB 3.1, HDMI, USB Type-C",Windows 10 Home SL,"Vỏ nhựa, PIN liền","Dày 22.9 mm, 1.73 kg",2019,16.890.000₫
